"Name","National_Position","Club_Position","Rating","Height","Weight","Age","Work_Rate","Ball_Control","Vision","Goalkeeper","International","IMC"
"Pepe","RCB","RCB",88,188,81,34,"Medium / High",62,48,"NO","YES",22.9176097781802
"Petr Čech",NA,"GK",88,196,90,34,"Medium / Medium",22,53,"YES","NO",23.4277384423157
"Gianluigi Buffon","GK","GK",88,192,91,39,"Medium / Medium",28,50,"YES","YES",24.6853298611111
"Iniesta","LCM","LM",88,171,68,32,"High / Medium",93,94,"NO","YES",23.2550186382135
"Jan Oblak","GK","GK",87,189,87,24,"Medium / Medium",16,55,"YES","YES",24.355421180818
"James Rodríguez","LAM","CAM",87,180,75,25,"Medium / Low",85,86,"NO","YES",23.1481481481481
"Pierre-Emerick Aubameyang",NA,"ST",87,187,80,27,"Medium / Low",82,77,"NO","NO",22.8774057021934
"Leonardo Bonucci","CB","RCB",87,190,85,29,"Low / High",75,74,"NO","YES",23.5457063711911
"Arturo Vidal","CDM","LDM",87,180,75,29,"High / High",83,80,"NO","YES",23.1481481481481
"Ivan Rakitić",NA,"CAM",87,184,78,29,"Medium / Medium",87,87,"NO","NO",23.038752362949
"David Silva","LM","LCM",87,173,67,31,"High / Low",90,92,"NO","YES",22.3863142771225
"Samir Handanovič",NA,"GK",87,193,89,32,"Medium / Medium",24,41,"YES","NO",23.893258879433
"Piqué","RCB","RCB",87,193,85,30,"High / Medium",78,62,"NO","YES",22.8194045477731
"Arjen Robben","RW","RM",87,180,80,33,"High / Low",89,83,"NO","YES",24.6913580246914
"Paulo Dybala","Sub","CAM",86,177,74,23,"Medium / Medium",91,82,"NO","YES",23.6202879121581
"Marco Verratti","LCM","RCM",86,165,60,24,"High / High",87,86,"NO","YES",22.038567493113
"David Alaba","LM","LB",86,180,76,24,"High / Medium",83,78,"NO","YES",23.4567901234568
"Henrikh Mkhitaryan",NA,"RW",86,177,75,28,"High / High",89,85,"NO","NO",23.9394809920521
"Bernd Leno","Sub","GK",86,190,83,25,"Medium / Medium",22,53,"YES","YES",22.9916897506925
"Thomas Müller","RM","CAM",86,186,75,27,"High / High",82,81,"NO","YES",21.6788067984738
"Sergio Busquets","CDM","CDM",86,189,76,28,"Medium / Medium",80,84,"NO","YES",21.2760001119789
"Thiago","Sub","RDM",86,174,70,25,"Medium / Medium",91,85,"NO","YES",23.1206235962479
"Jordi Alba","LB","LCB",86,170,68,28,"High / Medium",84,68,"NO","YES",23.5294117647059
"Coutinho","RW","LW",86,171,68,24,"High / High",88,87,"NO","YES",23.2550186382135
"Ángel Di María","LW","RW",86,180,75,29,"High / Medium",87,85,"NO","YES",23.1481481481481
"Diego Costa","ST","ST",86,188,85,28,"High / Medium",83,74,"NO","YES",24.0493435943866
"Edinson Cavani","RS","ST",86,184,71,30,"High / High",80,77,"NO","YES",20.9711720226843
"Radja Nainggolan","Sub","LF",86,176,65,28,"High / High",85,76,"NO","YES",20.9839876033058
"Marcelo","LB","LB",86,174,75,28,"High / Medium",87,75,"NO","YES",24.7720967102656
"Claudio Marchisio",NA,"Sub",86,180,75,31,"High / High",85,84,"NO","NO",23.1481481481481
"Miranda","RCB","RCB",86,186,78,32,"Medium / Medium",67,53,"NO","YES",22.5459590704128
"Karim Benzema",NA,"ST",86,187,79,29,"Medium / Low",86,85,"NO","NO",22.591438130916
"Cesc Fàbregas",NA,"Sub",86,175,74,29,"High / Medium",86,91,"NO","NO",24.1632653061224
"Franck Ribéry",NA,"Sub",86,170,72,33,"High / Medium",90,86,"NO","NO",24.9134948096886
"Santi Cazorla",NA,"Sub",86,168,66,32,"Medium / Medium",87,85,"NO","NO",23.3843537414966
"Andrea Barzagli","RCB","Sub",86,187,88,35,"Low / High",65,58,"NO","YES",25.1651462724127
"Harry Kane","ST","RS",85,188,86,23,"High / High",82,72,"NO","YES",24.3322770484382
"Alexandre Lacazette",NA,"ST",85,175,73,25,"High / Medium",84,77,"NO","NO",23.8367346938776
"Keylor Navas",NA,"GK",85,185,78,30,"Medium / Medium",19,54,"YES","NO",22.7903579254931
"Romelu Lukaku","ST","ST",85,190,94,23,"Medium / Medium",79,70,"NO","YES",26.0387811634349
"Christian Eriksen","CM","CAM",85,180,76,25,"High / Medium",86,88,"NO","YES",23.4567901234568
"İlkay Gündoğan",NA,"Sub",85,180,80,26,"High / Medium",88,87,"NO","NO",24.6913580246914
"Toby Alderweireld","RCB","CB",85,187,91,28,"Medium / Medium",70,64,"NO","YES",26.023048986245
"Willian","Sub","Sub",85,175,75,28,"High / High",86,83,"NO","YES",24.4897959183673
"Miralem Pjanić",NA,"RDM",85,180,72,26,"Medium / Medium",89,88,"NO","NO",22.2222222222222
"Juan Mata",NA,"Sub",85,170,63,28,"Medium / Medium",88,87,"NO","NO",21.7993079584775
"Javi Martinez","Sub","RCB",85,190,81,28,"Medium / Medium",71,74,"NO","YES",22.4376731301939
"Dimitri Payet","LM","LW",85,175,77,30,"High / Low",90,87,"NO","YES",25.1428571428571
"Dries Mertens","RF","ST",85,169,61,29,"High / Low",88,81,"NO","YES",21.3577955953923
"Sokratis","RCB","CB",85,186,85,28,"Medium / Medium",58,52,"NO","YES",24.5693143716036
"Marek Hamšik",NA,"LCM",85,183,79,29,"High / Medium",86,86,"NO","NO",23.5898354683627
"Blaise Matuidi","LDM","LCM",85,175,70,29,"High / High",77,75,"NO","YES",22.8571428571429
"Stéphane Ruffier",NA,"GK",85,188,93,30,"Medium / Medium",15,49,"YES","NO",26.3128112267995
"Laurent Koscielny","RCB","LCB",85,186,75,31,"Medium / High",67,56,"NO","YES",21.6788067984738
"Filipe Luís","Sub","LB",85,182,77,31,"High / Medium",81,70,"NO","YES",23.2459847844463
"Vincent Kompany","CB","Sub",85,193,85,30,"Medium / Medium",66,59,"NO","YES",22.8194045477731
"Aymeric Laporte",NA,"LCB",84,189,85,22,"Medium / Medium",71,52,"NO","NO",23.7955264410291
"Yannick Carrasco","LM","LM",84,180,66,23,"High / Medium",85,74,"NO","YES",20.3703703703704
"Carvajal","RB","RB",84,173,73,25,"High / Medium",83,57,"NO","YES",24.3910588392529
"Riyad Mahrez",NA,"RM",84,179,62,26,"Medium / Medium",90,79,"NO","NO",19.3502075465809
"Raphaël Varane",NA,"Sub",84,191,78,23,"Medium / High",75,56,"NO","NO",21.3809928455909
"Mauro Icardi",NA,"ST",84,181,75,24,"Medium / Low",79,64,"NO","NO",22.8930740819877
"Lorenzo Insigne","Sub","LW",84,163,59,25,"High / Medium",90,85,"NO","YES",22.206330686138
"Isco","Sub","Sub",84,176,74,24,"High / Medium",90,84,"NO","YES",23.8894628099174
"Koke","RCM","RM",84,178,74,25,"High / High",86,89,"NO","YES",23.355636914531
"Kostas Manolas","LCB","RCB",84,189,83,25,"Medium / High",65,22,"NO","YES",23.2356317012402
"Danijel Subašić",NA,"GK",84,191,84,32,"Medium / Medium",19,52,"YES","NO",23.025684602944
"Nicolás Otamendi","RCB","LCB",84,183,81,29,"High / High",64,45,"NO","YES",24.1870464928783
"Shkodran Mustafi","Sub","RCB",84,184,82,24,"Medium / High",70,55,"NO","YES",24.2202268431002
"Nemanja Matić",NA,"LCM",84,194,84,28,"Medium / High",79,77,"NO","NO",22.3190562227654
"Alex Sandro",NA,"LB",84,181,76,26,"High / High",81,70,"NO","NO",23.1983150697476
"Kamil Glik","RCB","RCB",84,190,80,29,"Low / Medium",59,23,"NO","YES",22.1606648199446
"Douglas Costa","Sub","LM",84,170,65,26,"Medium / Low",84,80,"NO","YES",22.4913494809689
"Kevin Strootman","CDM","LCM",84,186,78,27,"High / High",85,84,"NO","YES",22.5459590704128
"Nicolás Gaitán",NA,"Sub",84,173,68,29,"Medium / Medium",85,82,"NO","NO",22.7204383708109
"Bruno",NA,"LCM",84,184,73,32,"Medium / High",83,83,"NO","NO",21.5619092627599
"Ivan Perišić",NA,"LAM",84,186,81,28,"High / Medium",83,78,"NO","NO",23.4131113423517
"David Luiz",NA,"CB",84,189,84,29,"High / Medium",79,69,"NO","NO",23.5155790711346
"Sami Khedira","RDM","LDM",84,189,93,29,"High / High",81,80,"NO","YES",26.0351054001848
"Benedikt Höwedes","Sub","RCB",84,187,82,29,"Medium / Medium",70,57,"NO","YES",23.4493408447482
"Ralf Fährmann",NA,"GK",84,196,95,28,"Medium / Medium",24,42,"YES","NO",24.7292794668888
"Sergio Asenjo",NA,"Sub",84,189,87,27,"Medium / Medium",14,46,"NO","NO",24.355421180818
"Éver Banega","CAM","CAM",84,174,71,28,"Medium / Medium",87,88,"NO","YES",23.4509182190514
"Medhi Benatia",NA,"Sub",84,190,96,29,"Medium / Medium",65,47,"NO","NO",26.5927977839335
"Steve Mandanda",NA,"Sub",84,185,82,32,"Medium / Medium",17,55,"NO","NO",23.9590942293645
"Dani Alves","RB","Sub",84,172,68,33,"High / Low",85,78,"NO","YES",22.9853975121687
"Arda Turan","RM","Sub",84,177,76,30,"High / High",88,86,"NO","YES",24.2586740719461
"Javier Mascherano","LCM","Sub",84,174,73,32,"Medium / High",80,68,"NO","YES",24.1115074646585
"Aduriz",NA,"ST",84,182,78,36,"High / Medium",80,73,"NO","NO",23.5478806907378
"Yaya Touré",NA,"CDM",84,189,90,33,"Medium / Medium",82,85,"NO","NO",25.1952632905014
"Eric Bailly","RCB","RCB",83,187,77,22,"Medium / High",63,41,"NO","YES",22.0195029883611
"José María Giménez","RCB","Sub",83,185,80,22,"Medium / High",56,27,"NO","YES",23.3747260774288
"N'Golo Kanté","RDM","RCM",83,168,68,26,"Medium / High",79,76,"NO","YES",24.092970521542
"Gerónimo Rulli",NA,"GK",83,189,80,24,"Medium / Medium",15,58,"YES","NO",22.3957895915568
"João Mário","LM","Sub",83,179,73,24,"Medium / High",85,82,"NO","YES",22.7833088854905
"André Gomes","CM","Sub",83,188,84,23,"Medium / Medium",83,83,"NO","YES",23.766410140335
"Marquinhos","LCB","RCB",83,183,75,22,"Medium / Medium",76,51,"NO","YES",22.3954134193317
"Carlos Bacca","ST","ST",83,181,77,30,"Medium / Low",80,66,"NO","YES",23.5035560575074
"William Carvalho","CDM","CDM",83,187,83,24,"Medium / High",78,77,"NO","YES",23.7353084160256
"Karim Bellarabi",NA,"RM",83,183,80,26,"High / High",84,79,"NO","NO",23.8884409806205
"Raheem Sterling","RM","RW",83,170,69,22,"High / Medium",84,76,"NO","YES",23.8754325259516
"Julian Draxler","LM","LW",83,187,72,23,"Medium / Low",85,80,"NO","YES",20.589665131974
"Roberto Firmino","ST","ST",83,181,76,25,"High / High",83,83,"NO","YES",23.1983150697476
"Marcos Rojo","LCB","Sub",83,187,80,27,"Medium / High",71,57,"NO","YES",22.8774057021934
"Kalidou Koulibaly",NA,"LCB",83,195,89,25,"High / High",57,34,"NO","NO",23.4056541748849
"Danilo Pereira","Sub","CDM",83,188,83,25,"Medium / High",77,69,"NO","YES",23.4834766862834
"Timo Horn",NA,"GK",83,192,90,23,"Medium / Medium",22,55,"YES","NO",24.4140625
"Casemiro","CDM","Sub",83,184,80,25,"Medium / High",77,72,"NO","YES",23.6294896030246
"Vitolo","Sub","LM",83,184,79,27,"High / High",85,78,"NO","YES",23.3341209829868
"Anthony Lopes","Sub","GK",83,184,81,26,"Medium / Medium",21,52,"YES","YES",23.9248582230624
"Mattia Perin",NA,"Res",83,188,74,24,"Medium / Medium",23,44,"NO","NO",20.9370755998189
"Joel Matip",NA,"RCB",83,195,90,25,"Medium / Medium",71,72,"NO","NO",23.6686390532544
"Juan Cuadrado","RAM","RM",83,179,71,28,"High / Medium",85,70,"NO","YES",22.1591086420524
"Iago Aspas","Sub","RW",83,176,67,29,"High / High",84,68,"NO","YES",21.6296487603306
"Marc-André ter Stegen","Sub","GK",83,187,85,24,"Medium / Medium",18,57,"YES","YES",24.3072435585805
"Mario Götze",NA,"Sub",82,176,75,24,"Medium / Medium",90,82,"NO","NO",24.2122933884298
"Ander Herrera","Sub","RCM",83,182,73,27,"High / High",85,86,"NO","YES",22.0384011592803
"Javier Pastore",NA,"Sub",83,187,78,27,"High / Medium",87,86,"NO","NO",22.3054705596385
"Chris Smalling","Sub","LCB",83,193,90,27,"Medium / High",61,49,"NO","YES",24.161722462348
"Pedro","RM","RW",83,167,62,29,"High / Medium",85,74,"NO","YES",22.2309871275413
"Giacomo Bonaventura",NA,"Res",83,181,75,27,"High / Medium",84,81,"NO","NO",22.8930740819877
"Roman Bürki","Sub","GK",83,187,85,26,"Medium / Medium",23,50,"YES","YES",24.3072435585805
"Oscar","Sub","Res",83,179,67,25,"Medium / High",84,83,"NO","YES",20.9107081551762
"Steven N'Zonzi",NA,"LDM",83,190,75,28,"Medium / Medium",82,77,"NO","NO",20.7756232686981
"Aaron Ramsey","LCM","Sub",83,183,76,26,"High / High",84,80,"NO","YES",22.6940189315895
"Mateo Musacchio","Sub","RCB",83,182,75,26,"Medium / Medium",73,64,"NO","YES",22.6421929718633
"Ömer Toprak","RCB","RCB",83,187,83,27,"Medium / Medium",72,59,"NO","YES",23.7353084160256
"José Callejón",NA,"RW",83,178,73,30,"High / High",84,78,"NO","NO",23.0400201994698
"Adrien Silva",NA,"CM",83,175,69,28,"Medium / High",85,85,"NO","NO",22.530612244898
"Azpilicueta","Sub","RCB",83,178,75,27,"Medium / Medium",77,68,"NO","YES",23.6712536295922
"Sebastian Giovinco",NA,"LS",83,164,59,30,"High / Medium",87,85,"NO","NO",21.9363474122546
"Anthony Modeste",NA,"LS",83,187,84,28,"Medium / Medium",78,62,"NO","NO",24.021275987303
"Mario Mandžukić",NA,"LM",83,190,86,30,"High / High",77,62,"NO","NO",23.8227146814404
"Adam Lallana","LM","RCM",83,172,73,28,"High / High",86,83,"NO","YES",24.6755002704164
"Olivier Giroud","ST","Sub",83,192,88,30,"Medium / Medium",82,75,"NO","YES",23.8715277777778
"Rui Patrício","GK","GK",83,190,84,29,"Medium / Medium",23,63,"YES","YES",23.2686980609418
"Yann Sommer","GK","GK",83,183,79,28,"Medium / Medium",25,58,"YES","YES",23.5898354683627
"Jonas",NA,"LS",83,181,75,32,"High / Medium",88,83,"NO","NO",22.8930740819877
"Kévin Gameiro","Sub","LS",83,173,70,29,"Medium / Medium",80,76,"NO","YES",23.3886865581877
"Claudio Bravo","GK","Sub",83,184,80,33,"Medium / Medium",15,71,"NO","YES",23.6294896030246
"Łukasz Piszczek","RB","RCB",83,184,78,31,"Medium / Medium",76,72,"NO","YES",23.038752362949
"Jan Vertonghen","LCB","LCB",83,189,88,29,"High / Medium",74,65,"NO","YES",24.6353685507125
"Asmir Begović",NA,"Sub",83,200,83,29,"Medium / Medium",24,31,"NO","NO",20.75
"Naldo",NA,"Sub",83,198,91,34,"High / Medium",68,59,"NO","NO",23.2119171513111
"Daniel Sturridge",NA,"Sub",83,180,76,27,"Medium / Low",81,74,"NO","NO",23.4567901234568
"José Fonte","LCB","RCB",83,187,81,33,"Medium / High",64,55,"NO","YES",23.1633732734708
"Ezequiel Garay",NA,"RCB",83,188,77,30,"Medium / Medium",73,63,"NO","NO",21.7858759619737
"Samir Nasri",NA,"CAM",83,175,75,29,"High / Medium",87,83,"NO","NO",24.4897959183673
"Gary Cahill","LCB","LCB",83,193,86,31,"Medium / Medium",63,56,"NO","YES",23.0878681306881
"Ashley Williams","CB","LCB",83,182,91,32,"Medium / High",69,53,"NO","YES",27.4725274725275
"Leighton Baines",NA,"LB",83,170,70,32,"High / Medium",79,76,"NO","NO",24.2214532871972
"Kasper Schmeichel","GK","GK",83,185,76,30,"Medium / Medium",24,59,"YES","YES",22.2059897735573
"Borja Valero",NA,"RF",83,175,73,32,"Medium / Medium",88,86,"NO","NO",23.8367346938776
"Hatem Ben Arfa",NA,"Sub",83,178,74,30,"High / Low",86,80,"NO","NO",23.355636914531
"Joe Hart","GK","GK",83,196,91,29,"Medium / Medium",20,42,"YES","YES",23.6880466472303
"Juanfran",NA,"RB",83,180,72,32,"High / Medium",79,72,"NO","NO",22.2222222222222
"Wesley Sneijder","Sub","CAM",83,170,72,32,"Medium / Low",85,85,"NO","YES",24.9134948096886
"Nani","Sub","LW",83,175,66,30,"High / Medium",86,80,"NO","YES",21.5510204081633
"Stephan Lichtsteiner","RB","RB",83,182,74,33,"High / High",75,62,"NO","YES",22.3402970655718
"Wayne Rooney","Sub","Sub",83,176,83,31,"Medium / High",80,83,"NO","YES",26.7949380165289
"Daniele De Rossi","CDM","RCM",83,184,83,33,"Medium / High",78,72,"NO","YES",24.515595463138
"José Reina","Sub","GK",83,188,92,34,"Medium / Medium",23,65,"YES","YES",26.0298777727479
"Quaresma","RM","RM",83,175,67,33,"High / Medium",87,80,"NO","YES",21.8775510204082
"Marco Asensio",NA,"Sub",82,178,70,21,"Medium / Medium",85,83,"NO","NO",22.0931700542861
"Bernardo Silva","Sub","RM",83,173,64,22,"Medium / Medium",86,84,"NO","YES",21.3839419960573
"Islam Slimani",NA,"Sub",82,188,79,28,"High / High",76,72,"NO","NO",22.351742870077
"Jonathan Tah",NA,"Sub",82,194,98,21,"Medium / Medium",64,61,"NO","NO",26.0388989265597
"Anthony Martial",NA,"LW",82,184,76,21,"High / Low",84,70,"NO","NO",22.4480151228733
"Dele Alli","CAM","LS",82,188,80,20,"High / Medium",83,81,"NO","YES",22.6346763241286
"Ederson","Sub","GK",82,188,83,23,"Medium / Medium",30,60,"YES","YES",23.4834766862834
"Mohamed Salah","ST","RF",82,175,72,24,"High / Medium",87,71,"NO","YES",23.5102040816327
"Sadio Mané",NA,"RW",82,175,75,24,"High / Medium",82,77,"NO","NO",24.4897959183673
"Lucas Vázquez",NA,"Sub",82,173,69,25,"High / High",82,82,"NO","NO",23.0545624644993
"Franco Vázquez",NA,"Sub",82,186,82,28,"Medium / High",89,84,"NO","NO",23.7021620996647
"Manu Trigueros",NA,"RCM",82,178,71,25,"Medium / Medium",84,83,"NO","NO",22.4087867693473
"Samuel Umtiti","LCB","CB",82,181,75,23,"High / High",73,56,"NO","YES",22.8930740819877
"Stefan Savić",NA,"RCB",82,186,73,26,"Medium / High",66,41,"NO","NO",21.1007052838478
"Roque Mesa",NA,"CDM",82,171,73,27,"High / High",82,75,"NO","NO",24.9649464792586
"Loris Karius",NA,"Sub",82,190,87,23,"Medium / Medium",23,45,"NO","NO",24.0997229916898
"Alessandro Florenzi",NA,"Sub",82,173,67,26,"High / Medium",83,75,"NO","NO",22.3863142771225
"Virgil van Dijk","LCB","LCB",82,193,92,25,"High / Medium",71,59,"NO","YES",24.6986496281779
"Jack Butland",NA,"Sub",82,196,95,24,"Medium / Medium",26,31,"NO","NO",24.7292794668888
"Morata","Sub","Sub",82,189,85,24,"High / High",83,76,"NO","YES",23.7955264410291
"Lucas",NA,"Sub",82,172,72,24,"Medium / Medium",84,73,"NO","NO",24.3374797187669
"Yevhen Konoplyanka",NA,"Sub",82,178,78,27,"Medium / Medium",85,79,"NO","NO",24.6181037747759
"Francesco Acerbi",NA,"RCB",82,192,88,28,"Medium / Medium",67,59,"NO","NO",23.8715277777778
"Nolito",NA,"Sub",82,175,72,30,"High / Low",83,81,"NO","NO",23.5102040816327
"Granit Xhaka","LDM","Sub",82,185,82,24,"Medium / Medium",80,86,"NO","YES",23.9590942293645
"Stefan de Vrij","Sub","RCB",82,189,78,25,"Medium / High",72,50,"NO","YES",21.8358948517679
"Jonathan Viera",NA,"LCM",82,170,64,27,"High / Low",83,87,"NO","NO",22.1453287197232
"Pizzi",NA,"CM",82,172,66,27,"High / Medium",82,84,"NO","NO",22.3093564088697
"Serge Aurier","RB","Sub",82,176,76,24,"High / High",79,71,"NO","YES",24.5351239669421
"Grzegorz Krychowiak","RCM","Sub",82,186,85,27,"Medium / High",75,71,"NO","YES",24.5693143716036
"Kevin Kampl","Sub","LDM",82,178,65,26,"High / High",82,83,"NO","YES",20.5150864789799
"Dejan Lovren",NA,"LCB",82,188,84,27,"High / High",67,56,"NO","NO",23.766410140335
"Gary Medel","RCB","Sub",82,171,71,29,"Low / High",74,72,"NO","YES",24.2809753428405
"Idrissa Gueye",NA,"RDM",82,174,72,27,"Medium / High",79,72,"NO","NO",23.7812128418549
"Víctor Ruíz",NA,"LCB",82,185,78,28,"Medium / Medium",71,56,"NO","NO",22.7903579254931
"Ricardo Rodríguez","LB","LCB",82,180,77,24,"High / Medium",80,74,"NO","YES",23.7654320987654
"Xherdan Shaqiri","RAM","RM",82,169,72,25,"High / Medium",83,79,"NO","YES",25.2092013584959
"Ciro Immobile","LS","ST",82,185,85,27,"High / Medium",79,59,"NO","YES",24.8356464572681
"Nathaniel Clyne","Sub","RB",82,175,67,25,"High / Medium",75,64,"NO","YES",21.8775510204082
"Iborra",NA,"Sub",82,195,88,29,"Medium / Medium",80,74,"NO","NO",23.1426692965155
"Jack Wilshere",NA,"Sub",82,172,68,25,"Medium / Medium",84,85,"NO","NO",22.9853975121687
"Shinji Kagawa",NA,"Sub",82,172,64,28,"Medium / Medium",84,80,"NO","NO",21.6333153055706
"Kevin Trapp",NA,"GK",82,189,88,26,"Medium / Medium",24,45,"YES","NO",24.6353685507125
"Taison","Sub","LM",82,172,64,29,"Medium / Medium",85,79,"NO","YES",21.6333153055706
"Kyle Walker","RB","RWB",82,183,83,26,"High / Medium",75,69,"NO","YES",24.7842575173938
"Marlos",NA,"RM",82,174,69,28,"Medium / Medium",88,78,"NO","NO",22.7903289734443
"Luiz Gustavo",NA,"LDM",82,187,80,29,"Medium / High",73,69,"NO","NO",22.8774057021934
"Giuliano","Sub","RCM",82,172,68,26,"High / Medium",82,81,"NO","YES",22.9853975121687
"Gylfi Sigurðsson",NA,"LM",82,186,77,27,"High / Medium",82,84,"NO","NO",22.2569083130998
"Yacine Brahimi",NA,"LM",82,175,66,27,"Medium / Medium",84,78,"NO","NO",21.5510204081633
"Marko Arnautović","LF","LM",82,192,83,27,"Medium / Medium",85,80,"NO","YES",22.5151909722222
"Jordan Henderson","RDM","CDM",82,182,67,26,"High / High",80,82,"NO","YES",20.2270257215312
"Orestis Karnezis","GK","GK",82,190,79,31,"Medium / Medium",23,47,"YES","YES",21.8836565096953
"Mamadou Sakho",NA,"LCB",81,187,83,27,"Medium / High",61,49,"NO","NO",23.7353084160256
"Adil Rami","Sub","RCB",82,190,88,31,"Medium / High",64,22,"NO","YES",24.3767313019391
"Fernando Néstor Muslera","GK","GK",82,190,84,30,"Medium / Medium",23,58,"YES","YES",23.2686980609418
"Vedran Ćorluka",NA,"RCB",82,192,84,31,"High / Medium",73,60,"NO","NO",22.7864583333333
"Edin Džeko",NA,"ST",82,193,84,31,"Medium / Medium",79,70,"NO","NO",22.5509409648581
"Séamus Coleman","RB","Sub",82,177,77,28,"High / High",77,70,"NO","YES",24.5778671518401
"Javier Hernández","ST","ST",82,175,73,28,"Medium / Low",79,72,"NO","YES",23.8367346938776
"Beñat",NA,"LCM",82,175,72,30,"Medium / Medium",80,84,"NO","NO",23.5102040816327
"Lars Bender",NA,"RDM",82,185,80,27,"High / High",75,76,"NO","NO",23.3747260774288
"Axel Witsel","LCM","Res",82,186,73,28,"Medium / Medium",85,78,"NO","YES",21.1007052838478
"Morgan Schneiderlin",NA,"LDM",82,185,75,27,"Medium / High",79,73,"NO","NO",21.9138056975895
"Kevin Mirallas","Sub","LM",82,182,70,29,"High / Medium",85,67,"NO","YES",21.1327134404057
"Carlos Vela","RW","RW",82,177,75,28,"High / Low",81,79,"NO","YES",23.9394809920521
"Emiliano Viviano",NA,"GK",82,195,90,31,"Medium / Medium",22,60,"YES","NO",23.6686390532544
"Antonio Valencia","RM","RB",82,181,78,31,"High / Medium",80,71,"NO","YES",23.8087970452672
"Gonzalo Castro",NA,"LCM",82,172,74,29,"Medium / Medium",82,83,"NO","NO",25.013520822066
"Falcao",NA,"RS",82,177,72,31,"High / Medium",81,68,"NO","NO",22.98190175237
"Diego Alves","Sub","GK",82,187,83,31,"Medium / Medium",15,64,"YES","YES",23.7353084160256
"Andrea Consigli",NA,"GK",82,189,82,30,"Medium / Medium",23,46,"YES","NO",22.9556843313457
"João Moutinho","Sub","Sub",82,170,61,30,"High / Medium",82,82,"NO","YES",21.1072664359862
"Moussa Dembélé","Sub","LCM",82,185,88,29,"Medium / Medium",84,76,"NO","YES",25.7121986851717
"Michael Krohn-Dehli","Sub","Sub",82,170,68,33,"Medium / Medium",82,86,"NO","YES",23.5294117647059
"Loïc Perrin",NA,"LCB",82,181,80,31,"Medium / Medium",74,63,"NO","NO",24.4192790207869
"Lucas Biglia","RCM","CDM",82,178,63,31,"Medium / High",84,80,"NO","YES",19.8838530488575
"Benoît Costil","Sub","GK",82,188,86,29,"Medium / Medium",12,44,"YES","YES",24.3322770484382
"Raúl Albiol",NA,"RCB",82,190,82,31,"Low / Medium",67,49,"NO","NO",22.7146814404432
